id,texto
1,A história da computação mudou drasticamente no século XX.
2,"Inicialmente, Alan Turing publicou um artigo sobre máquinas inteligentes em 1950."
3,A máquina de Turing tornou-se o modelo teórico fundamental para a ciência da computação.
4,"Em 1956, John McCarthy organizou a famosa conferência no Dartmouth College."
5,Isso marcou o início oficial do campo de estudo da Inteligência Artificial.
6,"Durante a década de 1960, o MIT fundou seu laboratório de Inteligência Artificial."
7,Marvin Minsky foi um dos pioneiros no desenvolvimento de redes neurais artificiais.
8,"O programa ELIZA, criado por Joseph Weizenbaum em 1966, foi um marco no processamento de linguagem natural."
9,"A IBM desenvolveu o Deep Blue, que derrotou o campeão mundial de xadrez Garry Kasparov em 1997."
10,"No início dos anos 2000, o foco da pesquisa mudou para a aprendizagem de máquina estatística."
11,O Google investiu pesadamente em algoritmos de busca baseados em IA.
12,"Em 2011, o IBM Watson venceu o programa de perguntas e respostas Jeopardy!."
13,A Universidade de Stanford popularizou cursos de Machine Learning com o professor Andrew Ng.
14,A chegada do Deep Learning revolucionou o reconhecimento de imagem e voz em todo o mundo.
15,Redes Neurais Convolucionais tornaram-se o padrão para processamento visual na computação moderna.
16,A empresa OpenAI foi fundada em São Francisco com o objetivo de desenvolver inteligência artificial.
17,O lançamento da arquitetura Transformer pelo Google em 2017 alterou o rumo da análise de textos.
18,Modelos de linguagem demonstraram capacidades impressionantes de geração de código e redação.
19,A Microsoft integrou recursos de IA em seus produtos corporativos e sistemas operacionais.
20,"Hoje, a ética na Inteligência Artificial é intensamente debatida na União Europeia e no Brasil."
21,Empresas de tecnologia utilizam IA para desenvolver sistemas de direção autônoma e visão computacional.
22,A computação quântica surge como a próxima grande fronteira para acelerar o processamento de dados.
23,O processamento de linguagem natural permite que máquinas compreendam contextos e intenções humanas.
24,Ada Lovelace é frequentemente considerada a primeira programadora da história da matemática e computação.
25,"Charles Babbage projetou a Máquina Analítica no século XIX, uma precursora mecânica dos computadores."
26,A linguagem de programação Python tornou-se a ferramenta favorita para cientistas de dados no mercado.
27,O hardware avançou significativamente graças ao desenvolvimento de placas de vídeo modernas.
28,Bancos de dados ajudaram a estruturar a enorme quantidade de informações necessárias para treinar modelos.
29,O reconhecimento de entidades nomeadas (NER) é crucial para a extração de dados sensíveis em contratos.
30,O uso de POS Tagging ajuda os sistemas automáticos a entenderem a função sintática das palavras.
31,Universidades brasileiras têm aumentado consideravelmente o investimento em pesquisas sobre algoritmos.
32,A segurança da informação tornou-se um desafio extra com o avanço de robôs e automações cibernéticas.
33,Especialistas em tecnologia acreditam que inovações continuaram moldando o mercado de trabalho global.
